资产负债率,有形资产带息债务比,有形资产负债率,市净率母公司,综合杠杆,每股企业自由现金流量,第一大股东持股比率,成本费用利润率,留存收益资产比,总资产周转率,流动资产周转率,Z值,风险值,上年度违规,上年度违规次数
0.288554,0.021454,0.197358,2.73548,0.981315,0.629698,42.37,0.0823155,0.300364,0.720426,1.737043,2.836104,0,0,0
0.093376,0.001202,0.073979,2.569484,0.985455,-2.880534,46.74,0.0823155,0.456306,0.484992,0.534195,11.933238,2.505,1,1
0.42014,0.25288,0.50227,1.052119,1.555058,-0.504519,31.32,0.167214,0.28524,0.236285,0.265863,2.533735,0.512,0,0
0.45059,0.316212,0.44285,1.513562,1.517612,0.000504,31.32,0.161544,0.22594,0.256697,0.809276,1.265003,2.496,1,2
0.593003,0.525659,0.64618,2.788671,1.932575,-0.211855,31.32,0.14034,0.042397,0.356848,1.218363,1.379095,2.515,1,4
0.296253,0.044312,0.28431,1.317348,0.972229,-0.184587,31.32,0.656087,0.55339,0.126392,0.158141,3.159282,0.006,0,0
1.216047,0.482143,0.932506,8.871535,1.110096,-0.067378,31.32,-0.514065,-1.092714,0.644527,0.834525,-1.082854,2.713,1,1
0.340163,0.032596,0.352641,5.150956,0.987052,-1.262876,38.47,0.140422,0.33323,0.603874,0.70933,7.257719,0.092,0,0
0.083531,0.005762,0.065596,1.62746,0.898009,-0.112134,15.73,-0.138148,0.475536,0.115116,0.405394,18.400837,0.285,0,0
0.693688,0.449255,0.710549,4.148528,2.402375,-0.217873,31.32,0.008698,0.103896,0.727841,1.386567,1.737349,2.682,1,1
0.528513,0.260464,0.691572,3.515848,1.053753,-0.532284,31.32,0.108105,0.298432,1.696468,3.087907,4.178795,2.512,1,2
0.827892,0.245426,1.005927,65.931033,1.054167,-0.001632,16.5,-0.776375,-3.81651,0.577444,0.936514,-2.075217,2.53,1,5
0.459226,0.126147,0.382458,9.179381,1.054167,-0.106596,31.32,0.104283,0.033758,0.395678,0.491148,6.299127,0.243,0,0
0.49436,0.032228,0.238044,27.39429,0.994204,-0.1544,19.01,0.072246,-7.465166,3.560688,3.71219,17.474166,0.07,0,0
0.662692,0.332071,0.628236,3.056416,2.626516,-1.944216,31.32,0.00313,0.051418,0.317397,0.614927,0.912141,2.552,1,1
0.640005,0.897981,1.566864,2.616403,3.271992,0.013331,8.89,-0.762504,-1.808739,0.210333,0.33363,1.167149,2.943,1,2
1.576374,0.512572,0.894386,5.073758,1.054167,-0.017801,31.32,-1.736838,-2.000336,0.314343,1.089915,-5.315898,2.634,1,3
0.896207,0.446997,0.627717,0.718204,5.361734,0.072289,31.32,0.002792,-0.216068,0.509153,0.979868,-0.487882,2.71,1,2
0.460479,0.366671,0.482266,3.278479,4.761982,0.013461,31.32,-0.027965,-0.268804,0.097126,0.338789,1.341815,2.675,1,4
0.54674,0.20988,0.49871,1.14487,1.91158,-0.728186,31.32,-0.000897,-0.058035,0.912042,1.30132,1.242777,2.467,1,4
0.561185,0.238689,0.770847,2.704968,0.943602,-0.035516,10.63,0.01898,-0.067586,1.339958,2.713418,2.384083,2.757,1,1
0.064856,0.014591,0.080235,1.192306,0.986228,0.259123,31.32,0.332442,0.271722,0.649089,1.38989,11.625061,0.032,0,0
0.715124,0.482798,0.689326,3.898146,4.759614,0.047897,14.77,0.018629,0.124404,0.822808,1.072053,2.261547,0.006,0,0
1.066743,1.565062,1.821108,13.551019,1.054167,-0.008615,31.32,-0.688982,-3.035418,0.252806,0.807912,-3.793071,3,1,5
0.847781,0.62346,0.790439,1.73473,1.054167,0.000522,31.32,-1.17925,-0.122036,0.013917,0.017841,-0.134216,2.811,1,9
0.345989,0.129037,1.030045,4.799297,2.274446,0.04809,39.06,-1.086074,-0.12222,0.199624,0.395789,3.330578,2.481,1,2
0.455134,0.36081,0.557627,2.381393,6.918361,-0.0005,18.79,-0.096529,0.048974,0.661405,1.170246,2.112722,0.003,0,0
0.527288,0.380895,0.565402,4.1358,1.118213,-0.08401,31.32,0.246732,0.155065,0.409061,1.054745,2.773531,0,0,0
0.400212,0.193949,0.395497,1.279264,1.089496,-0.007186,31.32,-0.061749,0.172059,1.042753,1.899894,2.2826,2.396,1,2
0.644215,0.167982,0.63386,2.258804,1.130747,-0.221366,31.32,0.052638,0.115606,0.688435,0.848366,1.577764,0.055,0,0
0.899636,0.189672,0.857019,0.502142,1.706532,0.500541,31.32,-0.161623,0.05712,0.127395,0.140188,0.132381,0.243,0,0
0.367306,0.085798,0.39444,3.783571,1.27968,-1.09937,15.81,0.050124,0.023891,0.501551,0.894853,3.247242,2.496,1,1
1.484092,0.677241,0.978329,36.960021,1.054167,-0.491642,31.32,-0.354557,-1.076818,0.614475,3.414971,-3.721464,0.221,0,0
0.380253,0.427687,0.538897,1.612943,1.368462,-2.374634,37.5,-0.391368,0.064122,0.136837,0.868299,2.023544,0.049,0,0
0.441462,0.332886,0.600173,2.714836,1.117464,-0.501641,31.32,0.27784,-0.141279,0.635693,1.300039,2.773486,2.616,1,9
0.939703,0.50915,0.899144,37.868288,1.054167,0.01086,10.53,-0.508891,-1.235698,0.302273,0.842059,0.291014,2.594,1,5
0.405033,0.315838,0.610585,13.641483,1.022038,0.179997,31.32,0.446732,-0.168931,0.909069,1.447386,8.335908,0.207,0,0
0.644317,0.10871,0.574467,7.905838,1.054167,-0.163849,17.41,0.022853,-0.317113,0.383843,0.519836,1.492165,0.003,0,0
0.592708,0.648488,0.975342,4.115419,1.175092,-0.069514,28.96,0.103124,0.121483,0.561723,1.328226,2.429873,0.051,0,0
0.504771,0.105979,0.449577,3.133243,1.052517,-0.118804,31.32,0.088481,0.146966,0.864539,1.100642,2.665536,0.078,0,0
0.5462,0.329673,0.527388,1.345095,1.313899,-2.601351,28.41,0.049038,0.166339,0.556128,1.310873,1.427747,0.173,0,0
0.552753,0.009208,0.665372,21.958342,0.998731,-0.221417,20.51,0.64336,-7.615632,1.219235,1.368995,-0.593596,2.611,1,2
0.186052,0.021869,0.261944,2.492197,1.003522,0.000807,31.48,0.289739,0.513096,0.549831,1.306419,5.206195,0.107,0,0
0.419373,0.292446,0.425261,0.621861,21.410347,-0.071345,31.32,0.006304,0.14557,0.131429,0.550038,0.870696,2.558,1,2
0.669429,0.127468,0.60043,3.112325,1.149138,-0.33645,31.32,-0.003168,-0.272773,0.612015,1.140691,0.764462,2.85,1,4
0.139648,0.076365,0.140478,4.912441,0.850657,0.000718,31.32,-0.000171,0.115162,0.778592,1.182557,18.59561,2.598,1,10
0.884568,0.612749,0.912621,99.926987,1.054167,-0.242226,31.32,-0.38679,-0.330392,0.209543,0.552048,-0.414129,2.496,1,1
0.600521,0.410995,0.677079,1.816439,1.41303,-0.80185,31.32,0.02213,0.219871,2.20587,3.823368,3.554665,2.467,1,2
0.731556,0.011681,0.957622,38.756965,1.000283,0.137755,31.32,-0.62735,-3.962323,1.05668,1.503703,-1.641998,2.57,1,2
