资产负债率,有形资产带息债务比,有形资产负债率,市净率母公司,综合杠杆,每股企业自由现金流量,第一大股东持股比率,成本费用利润率,留存收益资产比,总资产周转率,流动资产周转率,Z值,上年度违规,上年度违规次数,风险值
0.920139,0.316727,0.846835,6.071592,1.052371,0.064461,29.9,-0.597077,-0.042287,0.10736,0.183192,-0.165924,0,0,0.017
0.731441,0.498428,0.846278,2.801909,1.437244,1.181326,21.42,0.083369,0.081327,0.643618,2.179906,1.077142,1,1,2.455
0.509669,0.4239,0.610256,0.668993,1.353746,0.178396,32.81,0.083969,0.268406,0.629278,1.839987,1.620703,1,5,2.467
0.582178,0.626245,0.711085,1.549835,1.28142,-0.419701,32.52,0.027658,0.132877,1.31387,3.494828,2.696689,1,1,2.313
0.883704,0.223104,0.861263,0.905587,1.245454,-0.190825,54.12,0.143716,0.039828,0.21526,0.26345,0.340921,0,0,0.205
0.39101,0.225249,0.589268,1.548972,1.020453,-0.754509,32.02,0.125128,0.146384,0.416968,0.907642,1.760967,1,1,2.422
0.538669,0.359159,0.623873,2.502215,1.052371,-0.055275,15.12,0.130891,-2.055519,0.432639,0.648392,-1.718143,1,6,2.448
0.890042,0.278152,0.716063,9.192297,1.052371,-0.033869,16.18,0.104081,-2.54824,0.258049,0.486514,-1.903628,1,1,2.457
0.569843,0.784182,1.894227,2.666597,0.997342,0.010475,15.51,-3.425059,-2.477547,0.102977,0.183619,0.196843,1,9,2.551
0.815174,0.586955,0.918422,0.818001,1.052371,-0.206973,22.91,-0.088423,-0.39275,0.184804,0.376882,-0.762247,1,3,2.382
0.426081,0.103578,0.47333,2.399128,0.882607,0.040377,29.93,0.089006,0.329198,0.62453,0.909271,3.998965,0,0,0.054
0.081861,0.002435,0.1157,3.166139,1.071295,-0.646543,46.74,0.272581,0.427945,0.464609,0.537639,7.647032,0,0,0.056
0.158263,0.063515,0.208519,3.183381,1.294416,-0.320414,24.84,0.104081,0.472249,0.51172,0.740972,4.588361,0,0,0.003
0.439,0.361289,0.528373,1.161416,1.161747,-0.035714,11.54,0.25565,0.220673,0.364911,1.271346,2.223395,1,2,2.622
0.572265,0.100617,0.588734,3.020867,1.163717,0.089187,31.16,0.064068,0.119785,0.688113,0.844487,6.369547,0,0,0.213
