本年度违规,本年度违规次数,资产负债率,有形资产带息债务比,有形资产负债率,市净率母公司,综合杠杆,每股企业自由现金流量,第一大股东持股比率,成本费用利润率,留存收益资产比,总资产周转率,流动资产周转率,Z值,风险值
1,1,0.739379,0.165852,0.804801,10.80004,1.148064,-0.025332,37.69,0.104287,-0.419196,0.158775,0.224198,0.81975,4.803
1,1,0.850991,0.617158,0.892933,1.784047,1.148064,0.153901,32.98,0.036909,0.053062,0.555573,0.732476,0.853032,2.368
1,1,0.113582,0.053253,0.144435,1.481678,1.042776,0.439601,58.41,-0.324828,0.479683,0.383422,0.973511,5.46804,4.584
1,3,0.836295,0.434578,0.865028,1.468412,1.756174,-0.540619,16.99,0.095262,0.046675,0.178734,0.193276,0.813894,3.626
1,9,0.203513,0.134586,0.435215,1.984852,1.047497,-0.400503,16.41,0.632506,0.136511,0.153573,0.449419,1.581776,3.927
1,6,0.699734,0.359412,0.625393,1.952137,1.148064,-0.536416,19.03,0.098938,-0.411923,0.270685,0.509117,-1.578652,3.452
1,2,0.467485,0.257236,0.485483,1.678587,1.208521,-1.740926,31.13,0.512317,0.134049,0.192997,0.283819,1.175573,3.809
0,0,0.659968,0.37033,0.725886,3.08574,-0.312923,-0.274415,39.28,0.129742,0.139483,0.088131,0.103927,1.077071,3.5
1,1,0.752019,0.546022,0.699404,1.350047,1.502362,0.247137,23.41,0.122234,0.022714,0.39166,2.508891,-0.071565,5.466
1,2,0.844228,0.51838,0.871102,1.608809,0.669025,-0.603533,18.04,0.114333,0.036359,0.214392,0.239915,0.756018,3.779
0,0,0.689115,0.253068,0.526771,5.409326,1.104109,-0.100615,22.18,0.416497,-0.79252,0.363359,0.439255,-1.420369,4.502
0,0,0.246866,0.120131,0.270354,10.133385,1.148064,-0.01916,23.15,0.101396,-1.47571,0.809911,2.236169,5.265659,3.611
1,2,0.312123,0.376577,0.503248,0.787051,1.26012,-0.878891,13.98,0.6782,0.28278,0.23353,0.978316,4.289528,2.857
1,3,0.762301,0.679513,0.921788,5.552077,2.399195,-0.431699,29.46,0.056177,-0.166982,0.36963,0.564689,0.806811,4.597
0,0,0.10764,0.014234,0.077206,5.104189,0.96722,0.075236,40.99,0.696763,0.416873,0.467183,1.163863,29.879288,3.189
0,0,0.589695,0.503343,0.557191,2.096797,1.75352,-0.242054,16,0.0558,0.173325,0.17757,0.624022,1.248275,2.724
1,2,0.759505,0.586841,0.78118,1.689072,19.372314,-0.84292,35.1,-0.099391,0.064435,0.313158,0.811678,0.370789,5.088
1,1,0.377041,0.292789,0.731419,6.537437,1.743793,-0.181699,25,0.048495,0.078328,1.221775,1.710685,5.910528,3.947
0,0,0.685327,0.390569,0.64323,1.538284,2.103898,-0.24486,35.78,0.026871,0.140466,0.671255,1.758216,1.008285,3.034
1,1,0.59171,0.364391,0.623639,2.109603,1.838526,-0.585182,19.48,0.160864,0.044133,0.226546,0.357664,0.788088,4.755
1,2,0.476286,0.333331,0.571913,1.44156,1.820206,-0.081806,30.56,0.043762,0.071369,0.734189,1.60043,1.332718,3.563
0,0,0.623936,0.37282,0.734421,3.927455,1.03985,-0.136967,53.05,0.137118,0.033423,1.650504,5.201506,2.70736,3.095
1,1,0.326794,0.058888,0.398314,1.210315,0.829338,-0.231843,62.96,0.093515,0.343141,0.781216,1.24455,2.719574,4.429
1,1,0.566621,0.127862,0.407021,2.773328,1.071069,-0.086581,76.97,0.151324,0.146859,0.810627,2.111156,1.602086,4.283
0,0,0.352215,0.235478,0.408718,3.078664,1.010302,-0.092842,17.14,0.438736,0.196413,0.177547,0.726208,3.56467,5.044
1,1,0.74911,0.656155,1.286294,2.948412,1.666151,0.013447,25.69,-0.183074,-0.736681,1.162154,2.290349,1.551945,3.139
1,4,0.453301,0.029283,0.124145,4.695217,1.011185,0.383298,10.65,0.165112,0.075553,0.282862,0.696692,1.535652,4.649
1,11,0.327738,0.211337,0.28139,2.082014,1.148064,0.123881,15.23,-0.201113,-2.081583,0.272527,0.701382,-2.914582,5.004
1,2,0.14416,0.09488,0.164209,3.267352,1.148064,-0.013372,19.93,0.211884,-0.046272,0.178351,0.294609,5.25302,2.461
0,0,0.208321,0.281516,0.381545,2.540339,1.097025,-0.144267,45.97,0.215029,0.017131,0.349262,1.232769,2.694553,5.46
1,3,0.839973,0.649958,0.863079,1.224777,9.639165,0.175544,28.87,-0.168533,0.001693,0.222869,0.805756,0.176832,3.795
1,7,0.772224,0.022336,0.769479,1.458615,1.148064,1.024404,22.31,0.101396,0.081692,0.034741,0.968674,2.5414785,2.14
0,0,0.488762,0.210302,0.534906,2.938727,1.853151,-0.242315,29.33,0.006478,0.060697,1.317905,2.510402,2.475011,4.169
1,1,0.730653,0.00866,0.763637,1.441988,1.148064,0.21537,12.96,0.101396,0.060609,0.034124,0.968674,2.5414785,1.277
0,0,0.193719,0.117038,0.228933,3.489593,1.032486,0.243069,37.83,0.352114,0.52765,0.701635,2.223146,5.553873,1.788
1,3,0.575683,0.335795,0.426056,0.721649,1.765067,-0.471852,8.2,0.183738,-0.080025,0.293265,0.915254,-0.440886,1.221
1,2,0.222516,0.035462,0.202778,3.214841,1.045218,0.006866,39.38,0.075566,-0.006724,0.747729,1.05474,4.493257,3.475
